title,category,telephone,address,roadAddress,mapx,mapy,description,link
정통돈까스 까스맨 주안점,일식>돈가스,032-867-9396,인천광역시 미추홀구 주안동 268-1,인천광역시 미추홀구 주안서로 57,283224,541022,,
,,,,,,,,
그린라인 경기북부센터,"지원,대행>소독,구충,방제서비스",031-978-0924,경기도 고양시 덕양구 행신동 713-1,경기도 고양시 덕양구 무원로6번길 61 503-7호,297188,557589,,http://www.green-line.co.kr
코코호도 영통구청점,"카페,디저트>호두과자",,경기도 수원시 영통구 매탄동 1158-5,경기도 수원시 영통구 효원로 372,315224,517887,,https://www.instagram.com/cocohodo_s2/
,,,,,,,,
,,,,,,,,
돼지곳간,한식>돼지고기구이,033-661-3744,강원도 강릉시 주문진읍 교항리 176-6,강원도 강릉시 주문진읍 장성로 54,472870,587565,,
토즈스터디센터 동소문센터,"교육,학문>독서실",02-953-0122,서울특별시 성북구 동소문동3가 29,서울특별시 성북구 동소문로 40 5층,312810,554666,,
,,,,,,,,
엄마의마음,"쇼핑,유통>반찬가게",051-731-7020,부산광역시 해운대구 우동 1008-5,부산광역시 해운대구 해운대로 428 동부올림픽타운 상가동 1층 엄마의마음,504068,285825,,http://www.instagram.com/mommind_food
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
비어비어짠비어,"술집>맥주,호프",,서울특별시 양천구 신월동 49-12,서울특별시 양천구 가로공원로 99,296532,548840,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
강서구아이폰수리폰사요몰,"쇼핑,유통>중고폰",,서울특별시 강서구 화곡동 143,서울특별시 강서구 화곡로 178,297817,549481,,https://djawl6134.wixsite.com/010-8366-6661//
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
목수식당,음식점>한식,051-973-2196,부산광역시 강서구 신호동 220-6,부산광역시 강서구 신호산단4로64번길 10,480412,276595,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
소분행,분식>김밥,052-234-7776,울산광역시 동구 방어동 70-2,울산광역시 동구 등대6길 5 1층상가 소분행,529802,321868,,
사단법인 전국친환경농업인연합회,"협회,단체",,세종특별자치시 도담동 655 5층 504호,세종특별자치시 한누리대로 589 5층 504호,333762,435261,,http://ofkorea.org/
위넌스터디카페 화정점,"서비스,산업>장소대여",,경기도 고양시 덕양구 화정동 975,경기도 고양시 덕양구 화신로260번길 66 302호,297234,559683,,
,,,,,,,,
,,,,,,,,
수유리찌개백반,음식점>한식,,서울특별시 성북구 삼선동4가 350-6,서울특별시 성북구 보문로36길 12 1층,313205,554758,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
에그드랍 신제주연동점,양식>샌드위치,064-723-7074,제주특별자치도 제주시 연동 272-36,제주특별자치도 제주시 신대로14길 52 에그드랍 신제주연동점,259961,100131,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
리얼스칼프 &amp; 메이크업,"생활,편의>미용",,대구광역시 북구 사수동 787,대구광역시 북구 내곡로 69 상가동 1층 101호,446357,367003,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
위브서점,"도서,음반,문구>아동도서",,경기도 부천시 중동 1112,경기도 부천시 신흥로 150-1 위브 더 스테이트 802동 214호,292219,544654,,http://blog.naver.com/rkskqnrtm23
,,,,,,,,
,,,,,,,,
그라시움미술,학원>미술학원,,서울특별시 강동구 고덕동 212,서울특별시 강동구 고덕로 333 122동 204호,326326,551029,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
은지네식당,"한식>곱창,막창,양",032-937-6070,인천광역시 강화군 길상면 온수리 502-10,인천광역시 강화군 길상면 강화동로 11,267045,560853,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
꼴통이네 밥집,음식점>한식,031-224-2513,경기도 화성시 봉담읍 와우리 83-1,경기도 화성시 봉담읍 와우안길 60,309278,513274,,
,,,,,,,,
,,,,,,,,
누룽누룽,"제조업>곡물가공,제조",,경기도 고양시 일산동구 백석동 1349,경기도 고양시 일산동구 백석로 24 국제한진상가 1층 114호,292749,560837,,
티알에프 냉동냉장,"생활,편의>수리,AS",,부산광역시 서구 동대신동2가 122,부산광역시 서구 대영로112번길 66,493503,279774,,http://blog.naver.com/qkdwnsdud200
,,,,,,,,
포텐스터디카페 춘천석사점,"서비스,산업>장소대여",,강원도 춘천시 석사동 880-2,강원도 춘천시 퇴계농공로 16 7층,377698,583286,,http://instagram.com/pot8211
상수동밥한끼,음식점>한식,02-335-0456,서울특별시 마포구 상수동 396,서울특별시 마포구 독막로 98 상가 102호. 상수동밥한끼,305145,550022,,
,,,,,,,,
,,,,,,,,
바이씬,패션>여성의류,,서울특별시 강서구 마곡동 760-2 118호,서울특별시 강서구 마곡중앙로 161-1 118호,296620,552385,,http://www.instagram.com/_bysin
,,,,,,,,
호센식당,일식>일식당,064-799-3423,제주특별자치도 제주시 애월읍 신엄리 2791-5,제주특별자치도 제주시 애월읍 애월해안로 496 1층  호센식당,247512,99283,,
모딤,음식점>양식,031-389-9977,경기도 안양시 동안구 관양동 922,경기도 안양시 동안구 벌말로 66 하이필드지식산업센터 101호,308941,532954,,http://www.instagram.com/modim.official
,,,,,,,,
,,,,,,,,
카토식당,일식>일식당,031-905-9347,경기도 고양시 일산동구 마두동 721 일송빌딩 1층 카토식당,경기도 고양시 일산동구 일산로 250 일송빌딩 1층 카토식당,293275,562494,,http://www.instagram.com/kato.illsan
,,,,,,,,
파리바게뜨 시흥시청점,"카페,디저트>베이커리",031-316-1420,경기도 시흥시 장현동 538-3,경기도 시흥시 시청로 74 시청로 48,293888,531665,,http://www.paris.co.kr/
,,,,,,,,
,,,,,,,,
,,,,,,,,
동신아파트,주택>아파트,,서울특별시 노원구 월계동 436,서울특별시 노원구 광운로2나길 30,317303,557579,,
,,,,,,,,
,,,,,,,,
플랜에이스터디카페 등촌센터,"서비스,산업>장소대여",,서울특별시 양천구 목동 602-15,서울특별시 양천구 목동중앙북로7길 20 2층,300135,550222,,https://pf.kakao.com/_hpnxmT
,,,,,,,,
,,,,,,,,
결정적순간,"전문,기술서비스>전문사진촬영,처리",,서울특별시 중구 을지로2가 101-27,서울특별시 중구 삼일대로12길 22-1 동진빌딩 402호,310884,552084,,http://instagram.com/decisive_moment_lab
,,,,,,,,
,,,,,,,,
,,,,,,,,
오죽헌 엄마의밥상,음식점>한식,,부산광역시 연제구 거제동 887-3,부산광역시 연제구 아시아드대로 22,497621,288106,,https://ojukheon1.modoo.at/
엄마축산,"쇼핑,유통>정육점",031-966-9399,경기도 고양시 덕양구 화정동 893,경기도 고양시 덕양구 화중로152번길 4,297213,560426,,
,,,,,,,,
,,,,,,,,
작은섬,"술집>맥주,호프",042-252-8286,대전광역시 중구 선화동 244-11,대전광역시 중구 선화로 120,348177,414558,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
서비식당,"한식>육류,고기요리",02-2212-7094,서울특별시 동대문구 전농동 103-91,서울특별시 동대문구 서울시립대로27길 40 101호 서비식당,316515,553997,,
크로스핏하이퍼짐,"스포츠,오락>스포츠시설",02-242-2890,강원도 춘천시 효자동 17-8,강원도 춘천시 서부대성로239번길 29 cc볼링장 1층,377845,585850,,http://instagram.com/crossfithypergym
,,,,,,,,
직거래회수산,한식>생선회,031-254-7772,경기도 수원시 팔달구 화서동 644-1,경기도 수원시 팔달구 덕영대로 693,310653,520820,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
넘버25호텔 이천터미널점,숙박>모텔,,경기도 이천시 창전동 165-1,경기도 이천시 이섭대천로 1229 5층,351107,519936,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
말례밥집,음식점>한식,,부산광역시 중구 중앙동4가 82-7,부산광역시 중구 충장대로5번길 33,494753,279330,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
고돼지 심곡점,"한식>육류,고기요리",032-611-0624,경기도 부천시 심곡동 398-20,경기도 부천시 부일로432번길 13,292147,543353,,
브레댄코 삼성역점,"카페,디저트>베이커리",02-557-0470,서울특별시 강남구 대치동 950-1,서울특별시 강남구 영동대로85길 13,317320,545391,,http://www.instagram.com/breadncosamsung
건강밥상심마니 은계점,"한식>백숙,삼계탕",031-311-2539,경기도 시흥시 은행동 646-10,경기도 시흥시 은계번영길 23 은계타운 3층,294352,537903,,
선식당 목동점,음식점>양식,02-2644-0102,서울특별시 양천구 신정동 323-12,서울특별시 양천구 목동동로 73 양지빌딩 2층,299678,546565,,
,,,,,,,,
,,,,,,,,
해물먹을래,"한식>아귀찜,해물찜",031-429-4002,경기도 군포시 당동 763-3,경기도 군포시 당동로22번길 21,306475,528307,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
J학원,"교육,학문>교습학원",,인천광역시 중구 중산동 1883-9,"인천광역시 중구 하늘중앙로195번길 23 ,  하늘프라자 6층 602호",273047,543984,,
,,,,,,,,
이은비영어교습소,어학원>영어학원,053-585-0599,대구광역시 달성군 다사읍 매곡리 1568,대구광역시 달성군 다사읍 다사로 50 죽곡삼정그린코아더베스트APT상가내 401동 202호,441856,362793,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
풀무원녹즙울산남구중부점,"쇼핑,유통>건강기능보조식품",,울산광역시 남구 신정동 714-20,울산광역시 남구 돋질로37번길 30,518911,327519,,
아오리라멘 인천계양점,일식>일본식라면,,인천광역시 계양구 용종동 207-1 101동 1층,인천광역시 계양구 계양문화로 119 101동 1층,288693,549615,,https://www.instagram.com/aoriramen/
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
시그니처아레나 초지점,"스포츠,오락>PC방",,경기도 안산시 단원구 초지동 734,경기도 안산시 단원구 초지2로 67-17,295256,523540,,
도무지,"전문,기술서비스>전문디자인",,제주특별자치도 제주시 한경면 고산리 3610-4,제주특별자치도 제주시 한경면 노을해안로 1166,229333,80741,,http://www.instagram.com/domooji
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
푸라닭 인천산곡2동점,"음식점>치킨,닭강정",032-512-9206,인천광역시 부평구 산곡동 263-50,인천광역시 부평구 부흥로123번길 43,285732,545065,,http://www.puradak.com
,,,,,,,,
,,,,,,,,
수림식당 3호점,중식>중식당,,부산광역시 북구 화명동 1161-1,부산광역시 북구 화명대로94번길 116 2동 201호 수림식당,492736,292711,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
크레오어학원 대치,어학원>영어학원,02-563-0579,서울특별시 강남구 대치동 651 여천빌딩 8층,서울특별시 강남구 남부순환로 2909 여천빌딩 8층,316845,543758,,http://dybcreo.com/
마음챙김 MFHS명상센터,"협회,단체>명상",,부산광역시 수영구 남천동 5-8 3층,부산광역시 수영구 광남로48번길 29 3층,501647,283606,,
,,,,,,,,
곱창고 강남역점,"육류,고기요리>곱창,막창,양",02-2141-0001,서울특별시 강남구 역삼동 817-12,서울특별시 강남구 강남대로96길 11,314248,544642,,
,,,,,,,,
고복식당,한식>돼지고기구이,062-953-0966,광주광역시 광산구 수완동 966,광주광역시 광산구 임방울대로 362,293123,288796,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
위너플레이펍,"술집>맥주,호프",,광주광역시 북구 용봉동 1398-2,광주광역시 북구 저불로 35 3층,299560,287091,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
단하나케이크 용인CGV점,"카페,디저트>케이크전문",031-332-8666,경기도 용인시 처인구 김량장동 301-3 2층 204호,경기도 용인시 처인구 금령로 86 2층 204호,329729,515103,,
함덕원,"한식>칼국수,만두",,제주특별자치도 제주시 조천읍 함덕리 3392-1,제주특별자치도 제주시 조천읍 신북로 422,275323,106086,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
데코하우스커튼,"쇼핑,유통>침구,커튼",053-943-1004,대구광역시 북구 칠성동2가 20-1,대구광역시 북구 침산로 93 스펙트럼시티2203호 이마트칠성점2층전시장,453447,365190,,
,,,,,,,,
원흥빌딩,"시설,건물>기업,빌딩",,경기도 용인시 수지구 성복동 71-3,경기도 용인시 수지구 수지로 125,318621,523892,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
속초시도서체육센터,"교육,학문>도서관",033-639-3714,강원도 속초시 조양동 1083,강원도 속초시 조양로 89,451954,620584,,http://www.sokcho.go.kr/portal/happysokcho/businessplace/infosportscenter
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
국수랑 전이랑,한식>국수,02-899-2252,경기도 광명시 일직동 515 무역센터 C동 110호,경기도 광명시 일직로 72 무역센터 C동 110호,301875,535914,,
롯데리아 소담점,양식>햄버거,044-867-7771,세종특별자치시 소담동 9-177,세종특별자치시 한누리대로 2009,337526,431794,,
퀸스맘 의왕안양군포지사,"지원,대행>산후도우미",031-426-5086,경기도 의왕시 내손동 751-3,경기도 의왕시 갈미2로 38 두성프라자 401-3호,309138,531321,,http://wondermom-care.com
,,,,,,,,
문산식당 옥이점,음식점>한식,,경기도 파주시 문산읍 선유리 907-2 6호,경기도 파주시 문산읍 봉미로 19 6호,293367,585088,,
자미호프,"술집>맥주,호프",02-869-2188,서울특별시 구로구 구로동 414-10,서울특별시 구로구 구로동로 167,301427,544082,,
옥란식당,한식>돼지고기구이,031-481-9494,경기도 안산시 단원구 초지동 608 상가동 1층 111호,경기도 안산시 단원구 화랑로 159 상가동 1층 111호,294397,525352,,http://www.instagram.com/okran_restaurant
,,,,,,,,
,,,,,,,,
파리바게뜨 매탄성일점,"카페,디저트>베이커리",031-213-3689,경기도 수원시 영통구 매탄동 810-4,경기도 수원시 영통구 인계로 239 성일아파트,315481,518513,,http://www.paris.co.kr/
군자대한곱창 세종나성점,"육류,고기요리>곱창,막창,양",044-867-7384,세종특별자치시 나성동 764,세종특별자치시 한누리대로 288 갤러리밸류시티 114~116호(나성동),333641,432377,,http://대한곱창.com
,,,,,,,,
예당 안산 성포점,"생활,편의>좌훈,족욕,좌욕",031-403-9022,경기도 안산시 상록구 성포동 593-6 202호,경기도 안산시 상록구 예술광장로 63,297866,525600,한방쑥 좌훈업체.,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
리빙아울렛DC백화점,"쇼핑,유통>슈퍼,마트",031-511-6755,경기도 남양주시 화도읍 마석우리 220-18,경기도 남양주시 화도읍 마석로 28,339036,561454,,
,,,,,,,,
모미락 계산점,일식>돈가스,032-551-2825,인천광역시 계양구 용종동 210-1,인천광역시 계양구 오조산로89번길 9 태영프라즈 제1층 제101호 모미락,288632,549266,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
이마트24 조선대체대점,"생활,편의>편의점",062-223-1241,광주광역시 동구 서석동 375,광주광역시 동구 필문대로 309,303117,283194,,http://www.emart24.co.kr
,,,,,,,,
하우스터디 대구대곡 스터디카페,"서비스,산업>장소대여",,대구광역시 달서구 대곡동 1080,대구광역시 달서구 갈밭로 16 남도타워 7층,448271,355896,,http://blog.naver.com/nyk0413n
,,,,,,,,
쑤기네,"전통식품>떡,한과",,대전광역시 서구 괴정동 69-12,대전광역시 서구 괴정로54번길 28 1층,344649,415626,,http://instagram.com/ssugine1
청라 제임스권영어학원,어학원>영어학원,032-561-6551,인천광역시 서구 청라동 162-14,인천광역시 서구 중봉대로 588 청라센트럴프라자 8층 청라 제임스권영어학원,280904,548628,,
,,,,,,,,
삼성척재활의학과의원,"병원,의원>정형외과",02-902-7589,서울특별시 도봉구 창동 135-15,서울특별시 도봉구 노해로63길 84-3 동선빌딩 3층,316106,561588,,http://sschuk.com
노브랜드 대구학정점,"쇼핑,유통>슈퍼,마트",053-312-3399,대구광역시 북구 학정동 283-2,대구광역시 북구 학정로 535,451170,372636,,
,,,,,,,,
,,,,,,,,
더달달 양원점,"쇼핑,유통>가공식품",,서울특별시 중랑구 망우동 127-3,서울특별시 중랑구 양원역로 14,321465,555873,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
도깨비한끼뚝딱밥집,음식점>한식,,경기도 부천시 역곡동 111-2,경기도 부천시 역곡로14번길 42,295282,543430,,
,,,,,,,,
라라코스트 죽곡점,음식점>패밀리레스토랑,053-585-3230,대구광역시 달성군 다사읍 매곡리 1548-3,대구광역시 달성군 다사읍 대실역북로1길 5-5,442282,362133,,https://www.raracost.com
,,,,,,,,
다모아점핑,"스포츠,오락>스포츠시설",,경기도 포천시 선단동 460-19,경기도 포천시 삼육사로 2221 경복상가 2층,326498,583609,,
,,,,,,,,
하나로축산물센터 침산점,"쇼핑,유통>정육점",,대구광역시 북구 침산동 10-1,대구광역시 북구 침산남로44길 47,454209,365128,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
작심스터디카페 부산기장점,음식점>스터디카페,051-722-0910,부산광역시 기장군 기장읍 동부리 152-3,부산광역시 기장군 기장읍 차성로344번길 34 2층,510837,295013,,http://studycafe.zaksim.co.kr/study/event/contentsIntro.jsp
,,,,,,,,
,,,,,,,,
마루스터디카페,"서비스,산업>장소대여",,서울특별시 영등포구 신길동 355-497 2층,서울특별시 영등포구 도림로 289 2층,303223,545174,,https://marustudycafe.modoo.at
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
다원포차,술집>포장마차,,경기도 안산시 단원구 와동 821-18,경기도 안산시 단원구 와동공원로 44,295427,526808,,
Amigga,"음식점>카페,디저트",02-704-6532,서울특별시 마포구 염리동 45,서울특별시 마포구 숭문길 98,307108,550300,,
피자이탈리 양주고읍점,음식점>양식>피자,0504-0999-0950,경기도 양주시 광사동 657,경기도 양주시 고읍남로 23,319068,577196,,http://www.odr.kr/M9Ze80
,,,,,,,,
글로리식당,음식점>한식,,서울특별시 송파구 송파동 85-12,서울특별시 송파구 백제고분로42길 4-13 102호,321408,545194,,http://www.instagram.com/glory_sikdang/
경복대학교 남양주캠퍼스창조관,전문대학>부속건물,,경기도 남양주시 진접읍 금곡리 383,경기도 남양주시 진접읍 경복대로 425-17 경복대학교,330705,570590,,
멕시카나치킨 평리점,"음식점>치킨,닭강정",,대구광역시 서구 평리동 1090-9,대구광역시 서구 국채보상로49길 9,450516,363683,,http://0535669992.bdp.kr
,,,,,,,,
경북도서관북카페,"음식점>카페,디저트",,경상북도 예천군 호명면 산합리 1498,경상북도 예천군 호명면 도청대로 200,443867,441618,,
97도씨해물칼국수 영종본점,"한식>칼국수,만두",032-751-0056,인천광역시 중구 중산동 1938-6,인천광역시 중구 영종진광장로 39 오션테라스 1층,274508,544612,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
이화만두,분식>만두,02-455-3486,서울특별시 광진구 능동 282-3,서울특별시 광진구 능동로 278-1 이화만두,318776,550679,,https://instagram.com/ewhamandu
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
슬비밥상,음식점>한식,031-215-3785,경기도 수원시 영통구 매탄동 130-11,경기도 수원시 영통구 동수원로514번길 11,315694,519375,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
앤치킨,"음식점>치킨,닭강정",031-411-1511,경기도 안산시 단원구 고잔동 773-1,"경기도 안산시 단원구 광덕2로 194-4 104,105호",296640,523675,,
,,,,,,,,
,,,,,,,,
수원축산농협금융본점,"금융,보험>신용조합",,경기도 수원시 팔달구 인계동 1124-5,경기도 수원시 팔달구 효원로 289,314461,518192,,http://www.lico.co.kr/
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
어랑주막,"한식>전,빈대떡",,서울특별시 금천구 독산동 965-10,서울특별시 금천구 시흥대로152길 30 1층 어랑주막,302969,542199,,
GS25 광주고은점,"생활,편의>편의점",031-797-5910,경기도 광주시 초월읍 신월리 446-5,경기도 광주시 초월읍 산수로 517,338979,534099,,http://gs25.gsretail.com/
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
불교회관주차장,"교통,운수>주차장",,부산광역시 부산진구 양정동 393-12,부산광역시 부산진구 중앙대로 913,497632,286415,,
,,,,,,,,
,,,,,,,,
원이국수,음식점>한식,053-767-4869,대구광역시 수성구 황금동 754-4,대구광역시 수성구 들안로 198,455935,361033,,
대한감자탕,한식>감자탕,051-702-9992,부산광역시 해운대구 좌동 1480-1 조일프라자 105호,부산광역시 해운대구 양운로42번길 20 조일프라자 105호,507441,286161,,https://welcometodongmakgol.modoo.at
,,,,,,,,
보그룸소주방,술집>단란주점,062-973-6060,광주광역시 광산구 월계동 878-6 3층,광주광역시 광산구 임방울대로800번길 39 3층,295156,291355,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
회나무길식당,음식점>한식,02-792-0789,서울특별시 용산구 이태원동 210-58,서울특별시 용산구 회나무로32길 14 1층,311201,549090,,
