store_no,store_nm,addr,category,telephone,address,roadAddress,mapx,mapy,description,link,Correct
6721,연신에스티(주),충청북도 청주시 청원구 내수읍 학평리,,,,,,,,,X
6722,잉글리시에그 성북(도서),서울특별시 성북구 길음동,,,,,,,,,X
6807,믿음생활가전,인천광역시 남동구 만수동,,,,,,,,,X
6833,엘바이미,충청남도 천안시 서북구 불당동,"미용>네일아트,네일샵",,충청남도 천안시 서북구 불당동 1492,충청남도 천안시 서북구 불당26로 144 근린생활시설3동 204호,320675,469154,,http://instagram.com/nail_lbymi,O
7035,강남언니,광주광역시 광산구 산정동,,,,,,,,,X
7237,씨유(CU) 명지국제동서점,부산광역시 강서구 명지동,"생활,편의>편의점",,부산광역시 강서구 명지동 3361,부산광역시 강서구 명지국제5로 60,484113,278253,,http://cu.bgfretail.com/,O
7288,이유치킨 잠실신천점,서울특별시 송파구 잠실동,"음식점>치킨,닭강정",,서울특별시 송파구 잠실동 182 1층,서울특별시 송파구 올림픽로12길 4-15 1층,319062,545849,,,O
7306,어던헤어,경기도 하남시 망월동,"생활,편의>미용실",,경기도 하남시 망월동 1093-3,경기도 하남시 미사강변동로 121 더랜드시티 3층 307호,328764,551775,,https://blog.naver.com/adornhair,O
7349,단우운동원,경기도 용인시 기흥구 신갈동,,,,,,,,,X
7669,스테이크 컷츠,대구광역시 달성군 다사읍 매곡리,음식점>양식,,대구광역시 달성군 다사읍 매곡리 1522-9,대구광역시 달성군 다사읍 대실역북로5길 54-15,442264,362902,,,O
7670,냠냠(Yum-Yum),부산광역시 부산진구 전포동,,,,,,,,,X
7772,성대으뜸고시원,서울특별시 종로구 명륜3가,"생활,편의>고시원,고시텔",,서울특별시 종로구 명륜3가 1-204,서울특별시 종로구 명륜길 40 4층,311451,554561,,http://euddeum.kosirock.com/api/index/5993e27c997c84a315ec81a2,O
7912,꽃보다강쥐,서울특별시 강서구 화곡동,,,,,,,,,X
7998,보리 (vory),서울특별시 성동구 금호동1가,,,,,,,,,X
8038,북앤스터디,경상남도 진주시 평거동,"카페,디저트>북카페",,경상남도 진주시 평거동 902 5층,경상남도 진주시 순환로 541 5층,405707,285937,,,O
8095,칼라모아페인트,경상북도 구미시 임수동,,,,,,,,,X
8148,규린상회,서울특별시 금천구 독산동,,,,,,,,,X
8174,빼밀리다이어트전문클럽,서울특별시 양천구 신정동,,,,,,,,,X
8175,해도정육,경상북도 포항시 남구 해도동,,,,,,,,,X
8188,고속닭집유통,전라남도 목포시 산정동,,,,,,,,,X
8219,집고치는재미,충청남도 천안시 동남구 봉명동,,,,,,,,,X
8230,수보전자,서울특별시 서초구 서초동,"쇼핑,유통>전자,가전",,서울특별시 서초구 서초동 1310-5 영동프라자 1층 14호,서울특별시 서초구 서운로 184,313827,544634,,http://www.subo.co.kr,O
8345,무인카페나우커피 인천 용현점,인천광역시 미추홀구 용현동,"음식점>카페,디저트",,인천광역시 미추홀구 용현동 206-1 1층,인천광역시 미추홀구 독배로 382 1층,280650,539942,,,O
8370,루미에르 네일,대구광역시 북구,"미용>네일아트,네일샵",,대구광역시 북구 연경동 931 상가2층 208호,대구광역시 북구 연경중앙로11길 33 상가2층 208호,455612,371868,,,O
8515,화덕피자1986,경상북도 경산시 중산동,음식점>피자,,경상북도 경산시 중산동 632 힐즈스퀘어1,경상북도 경산시 펜타힐즈로 74 힐즈스퀘어1,465239,359153,,,O
8612,아진세차장,충청북도 청주시 흥덕구 신봉동,,,,,,,,,X
8731,서울S치과교정과치과의원,경기도 성남시 수정구 창곡동,,,,,,,,,X
8773,블루빈스커피청평점,경기도 가평군 청평면 청평리,"음식점>카페,디저트",,경기도 가평군 청평면 청평리 432-18,경기도 가평군 청평면 청평중앙로 60,349161,570832,,,O
8794,써니환경,인천광역시 남동구 구월동,,,,,,,,,X
9005,나만보쌈,경상남도 창원시 의창구 북면 감계리,"한식>족발,보쌈",,경상남도 창원시 의창구 북면 감계리 236-1 EM프라자 2층 203호,경상남도 창원시 의창구 북면 감계로110번길 54-7 EM프라자 2층 203호,454223,300440,,,O
9161,주식회사 오토퓨어-1,경기도 용인시,,,,,,,,,X
9229,오쩜이엔푸드,충청남도 천안시 서북구 성환읍 성환리,,,,,,,,,X
9428,축산명가 광안리점,부산광역시 수영구 광안동,"한식>육류,고기요리",,부산광역시 수영구 광안동 189-8,부산광역시 수영구 남천바다로 17,501575,283987,,,O
9472,리바트 동탄점,경기도 화성시 방교동,"쇼핑,유통>가구",,경기도 화성시 방교동 803-3,경기도 화성시 동탄산단3길 19-23 2동건물,318881,507268,,http://cafe.naver.com/livartdtnaver,O
9629,까멜리아(우베베),전라북도 고창군 고창읍 성두리,,,,,,,,,X
10124,김용재수학학원,경상북도 구미시 봉곡동,,,,,,,,,X
10632,원푸드부평,인천광역시 부평구 삼산동,"쇼핑,유통>가공식품",,인천광역시 부평구 삼산동 60-60,인천광역시 부평구 부평북로 393,288578,547486,,http://www.투앤원푸드.com,O
10689,파이스턴코퍼레이션,서울특별시 강동구 암사동,"서비스,산업>무역",,서울특별시 강동구 암사동 488-30,서울특별시 강동구 구천면로 323,323809,549926,,,O
10813,봉배드민턴전용구장,경상북도 칠곡군 동명면 금암리,"스포츠,오락>배드민턴장",,경상북도 칠곡군 동명면 금암리 1204,경상북도 칠곡군 동명면 경북대로 475 봉배드민턴전용구장,449921,378225,,,O
10829,달빛오징어광어,서울특별시 강남구 일원동,일식>일식당,,서울특별시 강남구 일원동 645-5 지상1층(일원동),서울특별시 강남구 일원로9길 60,319405,543561,,,O
10866,호텔 고시원 면목점,서울특별시 중랑구 면목동,,,,,,,,,X
10979,디자인스튜디오 키(Design Studio KEY),서울특별시 마포구 용강동,,,,,,,,,X
11032,네이처산림지원센타,전라북도 김제시 요촌동,,,,,,,,,X
11066,신화컴퍼니,울산광역시 북구 화봉동,,,,,,,,,X
11114,대농개발,대구광역시 남구 이천동,,,,,,,,,X
11209,신용주방,부산광역시 해운대구 송정동,"쇼핑,유통>주방가전",,부산광역시 해운대구 송정동 99-2,부산광역시 해운대구 해운대로 1197,509884,288765,,http://www.shinyong.co.kr/,O
11428,드림홈마트 신천점,경기도 시흥시 신천동,,,,,,,,,X
11605,풍어가,광주광역시 광산구 쌍암동,한식>생선회,,광주광역시 광산구 쌍암동 686-7,광주광역시 광산구 임방울대로825번길 50 1층,295424,291867,,,O
11641,장수촌풍천장어,경기도 연천군 백학면,"한식>장어,먹장어요리",,경기도 연천군 백학면 노곡리 569-8,,305512,598990,,,O
11965,탑셀 바이오뱅크 의정부지사 고객센터,경기도 의정부시 호원동,,,,,,,,,X
12221,엔케이티이칠오 스튜디오,서울특별시 마포구 성산동,,,,,,,,,X
12296,육짚,부산광역시 부산진구 전포동,"한식>육류,고기요리",,부산광역시 부산진구 전포동 683-15,부산광역시 부산진구 전포대로209번길 39-8,497031,284542,,https://www.instagram.com/yookzoup,O
12318,미애작업실,전라북도 남원시 하정동,,,,,,,,,X
12404,노아브루어스,부산광역시 금정구 장전동,"음식점>카페,디저트",,부산광역시 금정구 장전동 293-19,부산광역시 금정구 금정로52번길 45,499278,292757,,,O
12526,늘솜 커텐,경기도 여주시 하동,"쇼핑,유통>침구,커튼",,경기도 여주시 하동 196-9,경기도 여주시 청심로 116,367679,521942,,,O
12565,더큰북(the 큰book) 마마몽떼,경기도 화성시 영천동,경기도지역화폐가맹점>지역화폐가맹점,,경기도 화성시 영천동 681-1 서건에듀프라자 1동 202.304호,경기도 화성시 동탄순환대로 708,321236,512175,,,O
12611,타임유 스터디카페 주엽점,경기도 고양시 일산서구 주엽동,"서비스,산업>장소대여",,경기도 고양시 일산서구 주엽동 115-2 효림빌딩 801호,경기도 고양시 일산서구 주화로 88 효림빌딩 801호,290677,563862,,https://timeujuyeop.modoo.at/,O
12776,조아라청과,인천광역시 남동구 논현동,,,,,,,,,X
12834,하삼동커피 인천간석올리브점,인천광역시 남동구 간석동,"음식점>카페,디저트>카페",,인천광역시 남동구 간석동 285-7,인천광역시 남동구 석산로 143 1층 하삼동커피 간석올리브점,285895,540616,,,O
12881,제일초밥,경기도 안양시 만안구 안양동,일식>일식당,,경기도 안양시 만안구 안양동 454-28 1층(안양동),경기도 안양시 만안구 안양로223번길 33,304953,532800,,,O
13055,유한킴벌리속초특판대리점,강원도 속초시 도문동,,,,,,,,,X
13067,와우스크린,대전광역시 유성구 학하동,스포츠시설>스크린골프장,,대전광역시 유성구 학하동 714-7,대전광역시 유성구 학하북로 83-16,338038,415919,,,O
13118,지에스(GS)25 제천강제점,충청북도 제천시 강제동,,,,,,,,,X
13202,박진석 법무사사무실,서울특별시 서초구 서초동,,,,,,,,,X
13415,(주)웅재,경기도 광주시 오포읍 신현리,,,,,,,,,X
13424,미스오징어 미스터광어,인천광역시 서구 가정동,한식>생선회,,인천광역시 서구 가정동 618-6,인천광역시 서구 봉오재3로94번길 19 106호,282743,548014,,,O
13493,모도리두부,경상남도 창원시 마산합포구 진전면 양촌리,"쇼핑,유통>식료품",,경상남도 창원시 마산합포구 진전면 양촌리 307,경상남도 창원시 마산합포구 진전면 팔의사로 286,434591,281289,,,O
13573,주식회사 서전케미칼,경기도 시흥시 정왕동,,,,,,,,,X
13601,컴퓨터수리 컴퓨터구조대,경기도 부천시 여월동,"수리,AS>컴퓨터수리",,경기도 부천시 여월동 320,경기도 부천시 여월로 65 여월휴먼시아2단지아파트,294519,546325,,http://computersuri.modoo.at/,O
13812,송이섬유,강원도 철원군 동송읍 이평리,,,,,,,,,X
14045,오영김밥,경기도 시흥시 정왕동,분식>종합분식,,경기도 시흥시 정왕동 2523 시흥배곧 아브뉴프랑 센트럴 퍼플 1층 A-147호 (정왕동),경기도 시흥시 서울대학로264번길 7,287356,530445,,http://instagram.com/50kimbab,O
14062,그랜드하얏트서울,서울특별시 용산구 한남동,숙박>호텔,,서울특별시 용산구 한남동 747-7,서울특별시 용산구 소월로 322,311599,549076,,https://www.hyatt.com/ko-KR/hotel/south-korea/grand-hyatt-seoul/selrs?src=prop_misc_selrs_other_naver,O
14068,비에이치씨 치킨 묵동먹골점,서울특별시 중랑구 묵동,"음식점>치킨,닭강정",,서울특별시 중랑구 묵동 238-36 1층,서울특별시 중랑구 동일로169길 17,318598,557229,,http://www.bhc.co.kr/,O
14158,피자나라치킨공주(조대점),광주광역시 동구 지산동,,,,,,,,,X
14328,하섬산업개발,대전광역시 유성구 대정동,,,,,,,,,X
14345,비에이치시전주만성지구점,전라북도 전주시 덕진구 만성동,"음식점>치킨,닭강정",,전라북도 전주시 덕진구 만성동 1373-3,전라북도 전주시 덕진구 만성중앙로 51,316854,360723,,http://www.bhc.co.kr/,O
14527,페이스몰(Faithmall),경기도 광명시 소하동,,,,,,,,,X
14557,서광엔비에이 주식회사,서울특별시 금천구 가산동,,,,,,,,,X
14563,모노(MONO)여성의류,경기도 의정부시 산곡동,,,,,,,,,X
14617,더벤티 용인중앙시장점,경기도 용인시 처인구 김량장동,,,,,,,,,X
14661,샐러디 천안성정점,충청남도 천안시 서북구 성정동,"도시락,컵밥>다이어트,샐러드",,충청남도 천안시 서북구 성정동 1438,충청남도 천안시 서북구 성정공원3길 4 102호,323584,469771,,http://www.saladykorea.com/,O
15013,송우산업,서울특별시 성북구 하월곡동,,,,,,,,,X
15026,비발디 스크린골프,강원도 홍천군 서면 굴업리,"스포츠,오락>실내골프연습장",,강원도 홍천군 서면 굴업리 246-1,강원도 홍천군 서면 한서로 2185 비발디 스크린 골프장,371541,556890,,,O
15060,이배달마약삼겹떡볶이단계점,강원도 원주시 단계동,분식>종합분식,,강원도 원주시 단계동 895-8 지상1층 (단계동),강원도 원주시 이화6길 61,394127,526501,,,O
15077,정일품협동조합,부산광역시 강서구 대저2동,,,,,,,,,X
15095,소래1번지,인천광역시 남동구 논현동,한식>생선회,,인천광역시 남동구 논현동 111-85,인천광역시 남동구 장도로 85-19,288550,533622,,,O
15113,국수나무 삼천점,전라북도 전주시 완산구 삼천동1가,한식>국수,,전라북도 전주시 완산구 삼천동1가 605-7,전라북도 전주시 완산구 거마산1길 2 1층,320825,355756,,,O
15209,다릿목식당,강원도 정선군 신동읍 예미리,한식>두부요리,,강원도 정선군 신동읍 예미리 708-2,강원도 정선군 신동읍 예미1길 23,457223,512599,,,O
15273,씨유(CU) 대전열매11단지점,대전광역시 유성구 노은동,"생활,편의>편의점",,대전광역시 유성구 노은동 555-11,대전광역시 유성구 왕가봉로 22,338784,418497,,,O
15312,그린F5울산동구 북구 본부,울산광역시 북구 진장동,,,,,,,,,X
15350,나의봄네일,서울특별시 강서구 마곡동,,,,,,,,,X
15406,김층기꽃삼겹 (부산동구점),부산광역시 동구 수정동,,,,,,,,,X
15489,화이트펜슬 민락수변공원점,부산광역시 수영구 민락동,"서비스,산업>장소대여",,부산광역시 수영구 민락동 110-34,부산광역시 수영구 광안해변로358번길 6 6층,503309,284692,,http://whitepencilsubyeon.modoo.at,O
15495,케이에이치제이(KHJ),인천광역시 계양구 방축동,,,,,,,,,X
15618,제이에스파워텍 주식회사,경기도 안산시 단원구 성곡동,,,,,,,,,X
15675,씨유(CU) 아치산역점,서울특별시 광진구 구의동,,,,,,,,,X
15743,안산중앙댑 드림점,경기도 안산시 단원구 고잔동,,,,,,,,,X
15763,마인드맵 창의연구소,대구광역시 중구 삼덕동2가,,,,,,,,,X
15796,엑스존 III,경상남도 창원시 성산구 중앙동,,,,,,,,,X
15813,용천카 타이어,충청남도 아산시 염치읍 염성리,"자동차정비,수리>타이어,휠",,충청남도 아산시 염치읍 염성리 129-22,충청남도 아산시 아산로 611,308096,470219,,,O
16030,아트앤하트 남악오룡푸르지오교육원,전라남도 무안군 일로읍,학원>미술학원,,전라남도 무안군 일로읍 오룡리 111 205동,전라남도 무안군 일로읍 오룡중앙동로 65 205동,261554,246152,,http://www.artandheart.co.kr/,O
16069,센서리 커피 로스터스 Sensory Coffee Roasters,서울특별시 성동구 금호동3가,"음식점>카페,디저트",,서울특별시 성동구 금호동3가 244,서울특별시 성동구 독서당로 315-13 1층,313972,550040,,https://www.instagram.com/sensory_coffee_roasters,O
16224,치킨더홈(신당점),대구광역시 달서구 신당동,"음식점>치킨,닭강정",,대구광역시 달서구 신당동 1763-20,대구광역시 달서구 선원로14길 45,445302,362006,,http://www.chickenthehome.co.kr/,O
16409,캐슬라,인천광역시 남동구 고잔동,,,,,,,,,X
16436,주식회사 금화,경기도 양평군 지평면 지평리,,,,,,,,,X
16461,호텔 로이,부산광역시 연제구 연산동,,,,,,,,,X
16662,태광플라워양주지점,경기도 양주시 장흥면 삼하리,,,,,,,,,X
16827,이노뷰티살롱,충청남도 천안시 서북구 불당동,"미용>속눈썹증모,연장",,충청남도 천안시 서북구 불당동 1317,충청남도 천안시 서북구 불당16길 21 1층 이노뷰티살롱,320513,467058,,https://www.instagram.com/in0_bt,O
16948,GS25 동탄아이파크점,경기도 화성시 반송동,"생활,편의>편의점",,경기도 화성시 반송동 85,"경기도 화성시 동탄지성로 42 상가동 102호 (반송동 85, 동탄시범한빛마을동탄아이파크)",317659,512076,,http://gs25.gsretail.com/,O
16964,더한미에스테틱,인천광역시 부평구 삼산동,,,,,,,,,X
17048,머들러,부산광역시 수영구 민락동,술집>바(BAR),,부산광역시 수영구 민락동 129-26 3층,부산광역시 수영구 감포로102번길 8 3층,502071,285978,,https://www.instagram.com/muddler100,O
17088,친구야 생고기먹자,경상북도 고령군 다산면 상곡리,,,,,,,,,X
17367,(주)이스트샤인,인천광역시 서구 원창동,제조업>목재가구제조,,인천광역시 서구 원창동  393-168,인천광역시 서구 북항로193번길 104,278535,545049,,,O
17375,쉼(동네친구),서울특별시 관악구 봉천동,,,,,,,,,X
17748,지니마켓,경상북도 포항시 북구 용흥동,,,,,,,,,X
17951,탐나는스낵 삼양점,서울특별시 강북구 미아동,분식>종합분식,,서울특별시 강북구 미아동 1359 롯데마트 삼양점 개러지키친 2층 5호(미아동),서울특별시 강북구 삼양로 247,313492,558594,,,O
17990,인생쪽갈비&숯불고기,대전광역시 서구 관저동,,,,,,,,,X
18053,바벨PC시즌2,부산광역시 금정구 구서동,,,,,,,,,X
18100,현수산회도매and물회,대구광역시 동구 각산동,,,,,,,,,X
18402,베이프 캠프 기흥점,경기도 용인시 기흥구 상하동,,,,,,,,,X
18679,홍짜장 명일점,서울특별시 강동구 명일동,중식>중식당,,서울특별시 강동구 명일동 325-2,서울특별시 강동구 구천면로 418,324662,550160,,http://www.hongjjajang.com/,O
19046,남성컷트클럽,대전광역시 대덕구 비래동,"생활,편의>남성전문미용실",,대전광역시 대덕구 비래동 128-6,대전광역시 대덕구 비래동로 29,350865,417479,,,O
19051,헤스,경기도 의정부시 의정부동,제조업>의류제작,,경기도 의정부시 의정부동 497-12,경기도 의정부시 신흥로232번길 5 거성빌딩 4층,315930,570938,,http://blog.naver.com/iamgroo,O
19213,부라더키친 장안팔달점,경기도 수원시 장안구 정자동,,,,,,,,,X
19301,오토로그,광주광역시 광산구 하남동,"자동차정비,수리>외형복원,덴트,도색",,광주광역시 광산구 하남동 555,광주광역시 광산구 하남대로54번안길 68,290597,287183,,,O
19387,목로집,경상남도 양산시 물금읍 가촌리,,,,,,,,,X
19489,최철중수학학원,울산광역시 울주군 온양읍 대안리,교습학원>수학학원,,울산광역시 울주군 온양읍 대안리 405-12,울산광역시 울주군 온양읍 연안5길 13,516738,312924,,,O
19693,힘찬학당 애리조나스쿨,전라남도 광양시 마동,,,,,,,,,X
19733,카이로스영수학원,대전광역시 중구 유천동,"교육,학문>교습학원",,대전광역시 중구 유천동  185-6,대전광역시 중구 계백로 1606 우진빌딩,346183,413258,,,O
19748,오 도봉인테리어,서울특별시 도봉구 도봉동,,,,,,,,,X
20422,꼬치1호,경기도 부천시 역곡동,한식>닭요리,,경기도 부천시 역곡동 76-1,경기도 부천시 역곡로13번길 12,295027,543362,,,O
20824,씬,서울특별시 용산구 이태원동,"영상,오디오,방송>음반기획,제작",,서울특별시 용산구 한남동 683-43,서울특별시 용산구 이태원로42길 46-12,311915,548719,,http://www.highlightscene.com,X
20926,타임리스디자인,강원도 원주시 단구동,,,,,,,,,X
21065,윤선생 우리집앞 영어교실 강동초 공부방,대구광역시 동구 신서동,어학원>영어학원,,대구광역시 동구 신서동 555-10,대구광역시 동구 동호로7길 12,466210,363345,,,O
21105,초원즉석두부,서울특별시 강동구 상일동,,,,,,,,,X
21131,카페051 남양점,경상남도 창원시 성산구 남양동,"음식점>카페,디저트",,경상남도 창원시 성산구 남양동 8,경상남도 창원시 성산구 가음로13번길 33,464016,290687,,,O
21185,바사삭치킨강정 대신부민점,부산광역시 서구 동대신동2가,,,,,,,,,X
21237,신일장 모텔,경상남도 창녕군 창녕읍 술정리,,,,,,,,,X
21266,별피부샵,경기도 안양시 동안구 관양동,"미용>피부,체형관리",,경기도 안양시 동안구 관양동 1019-5,"경기도 안양시 동안구 시민대로327번길 6 , W에이스타워 3층 320호",308731,533248,,https://www.instagram.com/starskin_official,O
